Date,Open,High,Low,Close,Adj Close,Volume
2001-07-02,2.402500,2.475000,2.350000,2.400000,2.222745,418180
2001-07-09,2.375000,2.475000,2.250000,2.250000,2.083823,429960
2001-07-16,2.250000,2.300000,2.105000,2.180000,2.018993,318640
2001-07-23,2.082500,2.200000,1.775000,2.115000,1.958794,409540
2001-07-30,2.005000,2.157500,2.005000,2.152500,1.993524,343760
2001-08-06,2.150000,2.187500,2.125000,2.150000,1.991209,2270580
2001-08-13,2.200000,2.200000,2.150000,2.150000,1.991209,264300
2001-08-20,2.150000,2.172500,2.145000,2.150000,1.991209,171660
2001-08-27,2.150000,2.175000,2.150000,2.155000,1.995839,226700
2001-09-03,2.192500,2.272500,2.150000,2.157500,1.998155,265420
2001-09-10,2.150000,2.170000,1.575000,1.605000,1.486461,777300
2001-09-17,1.500000,2.075000,1.300000,1.890000,1.750412,1038580
2001-09-24,2.095000,2.095000,1.900000,2.002500,1.854603,692560
2001-10-01,2.000000,2.020000,2.000000,2.017500,1.868495,195580
2001-10-08,1.900000,2.085000,1.887500,1.937500,1.794403,363420
2001-10-15,1.865000,2.050000,1.852500,1.890000,1.750412,319840
2001-10-22,1.925000,2.095000,1.905000,1.997500,1.849972,221320
2001-10-29,2.012500,2.050000,1.850000,1.912500,1.771250,135640
2001-11-05,1.900000,2.005000,1.880000,1.970000,1.824503,422360
2001-11-12,1.987500,2.450000,1.930000,2.422500,2.243583,1241760
2001-11-19,2.500000,2.900000,2.307500,2.597500,2.405658,2072640
2001-11-26,2.687500,2.687500,2.325000,2.410000,2.232007,705180
2001-12-03,2.350000,2.650000,2.325000,2.427500,2.248213,945500
2001-12-10,2.700000,2.700000,2.325000,2.532500,2.345459,1822860
2001-12-17,2.532500,2.750000,2.325000,2.470000,2.287575,1556180
2001-12-24,2.250000,2.550000,2.250000,2.472500,2.289890,1051260
2001-12-31,2.750000,2.750000,2.400000,2.530000,2.343143,890880
2002-01-07,2.525000,3.950000,2.525000,3.607500,3.341063,6420440
2002-01-14,3.745000,4.325000,3.510000,3.752500,3.475354,3458360
2002-01-21,3.750000,4.100000,3.400000,3.470000,3.213718,3067720
2002-01-28,3.555000,4.605000,3.105000,4.092500,3.889270,5204060
2002-02-04,4.000000,4.175000,3.747500,3.882500,3.689698,4594500
2002-02-11,3.885000,5.685000,3.800000,5.115000,4.860992,11832220
2002-02-18,5.250000,6.235000,4.510000,5.805000,5.516728,22552440
2002-02-25,5.800000,6.250000,5.050000,6.132500,5.827964,28971960
2002-03-04,6.350000,8.845000,6.200000,7.495000,7.122804,92413500
2002-03-11,7.685000,7.832500,6.850000,7.512500,7.139435,42332280
2002-03-18,7.630000,7.695000,6.612500,6.697500,6.364907,11304400
2002-03-25,6.697500,7.342500,6.402500,7.087500,6.735541,7910900
2002-04-01,7.250000,8.750000,7.250000,8.035000,7.635986,31666380
2002-04-08,7.900000,9.300000,7.530000,9.157500,8.702746,28836080
2002-04-15,9.050000,10.382500,8.600000,8.820000,8.382003,44032100
2002-04-22,8.925000,9.637500,8.650000,9.007500,8.560196,18002180
2002-04-29,8.985000,9.345000,8.550000,8.597500,8.170554,6711960
2002-05-06,8.475000,8.945000,8.100000,8.140000,7.735775,9157020
2002-05-13,8.400000,8.400000,7.050000,7.215000,6.856708,12894980
2002-05-20,7.100000,7.250000,5.500000,7.090000,6.737915,13495940
2002-05-27,6.902500,7.350000,6.525000,6.827500,6.488450,8203620
2002-06-03,6.950000,7.125000,6.532500,6.647500,6.317390,4107320
2002-06-10,6.800000,7.800000,6.700000,7.550000,7.175074,8787860
2002-06-17,7.625000,7.800000,6.857500,7.077500,6.726036,2831480
2002-06-24,7.025000,8.635000,6.950000,8.147500,7.742902,27611380
2002-07-01,8.325000,8.500000,7.775000,8.335000,7.921090,9273660
2002-07-08,8.200000,8.797500,8.175000,8.350000,7.935348,13079440
2002-07-15,8.350000,9.045000,7.800000,8.862500,8.422398,12664000
2002-07-22,8.502500,8.575000,7.852500,7.977500,7.581343,7300260
2002-07-29,8.190000,8.195000,7.402500,7.632500,7.253477,4856920
2002-08-05,7.550000,8.250000,7.550000,8.022500,7.624109,3688900
2002-08-12,8.050000,8.100000,7.600000,8.020000,7.621733,1263420
2002-08-19,8.000000,8.172500,7.717500,7.932500,7.538578,1121600
2002-08-26,7.800000,8.037500,7.505000,8.005000,7.607479,1091520
2002-09-02,8.150000,8.150000,7.850000,7.907500,7.514819,1196440
2002-09-09,7.800000,7.925000,7.630000,7.672500,7.291490,731840
2002-09-16,7.725000,7.782500,7.255000,7.505000,7.132308,897720
2002-09-23,7.900000,7.900000,7.405000,7.490000,7.217242,958560
2002-09-30,7.500000,7.745000,7.450000,7.725000,7.443685,811020
2002-10-07,7.742500,7.800000,7.527500,7.560000,7.284693,624860
2002-10-14,7.672500,7.695000,7.440000,7.502500,7.229287,382380
2002-10-21,7.650000,7.650000,6.782500,6.880000,6.629456,543300
2002-10-28,6.930000,7.250000,6.550000,6.777500,6.530689,317740
2002-11-04,6.802500,6.895000,6.157500,6.685000,6.441557,248100
2002-11-11,6.645000,6.900000,6.250000,6.662500,6.419878,883340
2002-11-18,6.750000,7.395000,6.645000,7.007500,6.752313,1719580
2002-11-25,7.100000,7.850000,6.900000,7.765000,7.482227,2153860
2002-12-02,7.850000,7.972500,7.355000,7.632500,7.354553,1674580
2002-12-09,7.737500,8.250000,7.550000,8.082500,7.788165,1525900
2002-12-16,8.350000,8.750000,7.827500,8.580000,8.267548,2850440
2002-12-23,8.512500,8.650000,8.425000,8.570000,8.257912,1531460
2002-12-30,8.500000,8.720000,8.000000,8.255000,7.954383,1630080
2003-01-06,8.162500,8.747500,7.750000,8.450000,8.142283,1808020
2003-01-13,8.550000,8.550000,8.205000,8.395000,8.089286,837340
2003-01-20,8.355000,8.600000,7.917500,7.987500,7.696626,1264520
2003-01-27,8.000000,8.250000,7.877500,8.002500,7.711078,1253560
2003-02-03,8.000000,10.300000,7.557500,9.515000,9.168498,29503340
2003-02-10,9.597500,10.250000,8.750000,8.865000,8.542171,27197560
2003-02-17,9.062500,9.222500,8.600000,8.690000,8.373542,5390020
2003-02-24,8.750000,9.000000,8.355000,8.532500,8.221780,2593420
2003-03-03,8.740000,8.900000,7.452500,7.512500,7.238922,1989020
2003-03-10,7.550000,7.885000,6.800000,7.405000,7.135338,2126460
2003-03-17,7.277500,8.550000,7.277500,8.457500,8.149511,4495720
2003-03-24,8.450000,8.740000,7.725000,8.425000,8.118193,5036780
2003-03-31,8.405000,8.470000,7.755000,8.077500,7.783348,1333060
2003-04-07,8.222500,8.222500,7.000000,7.137500,6.877579,2919820
2003-04-14,7.300000,7.595000,7.230000,7.312500,7.046206,889720
2003-04-21,7.495000,7.937500,7.125000,7.282500,7.017298,1502260
2003-04-28,7.302500,7.437500,7.055000,7.165000,6.904078,803780
2003-05-05,7.132500,7.325000,7.082500,7.187500,6.925757,900520
2003-05-12,7.247500,8.125000,7.150000,7.810000,7.525589,4113560
2003-05-19,7.910000,8.250000,7.650000,7.762500,7.479818,7466460
2003-05-26,7.850000,7.895000,7.235000,7.545000,7.270239,2743420
2003-06-02,7.300000,8.200000,7.300000,7.670000,7.390687,4043140
2003-06-09,7.840000,7.850000,7.325000,7.337500,7.070296,2109820
2003-06-16,7.425000,7.735000,7.257500,7.502500,7.229287,2436580
2003-06-23,7.600000,7.912500,7.125000,7.767500,7.484638,8267320
2003-06-30,7.785000,9.000000,7.752500,8.252500,7.951974,10529620
2003-07-07,8.400000,8.587500,7.857500,8.057500,7.764075,2570700
2003-07-14,8.075000,9.550000,8.075000,8.792500,8.472312,10988980
2003-07-21,8.750000,10.145000,8.705000,10.060000,9.693654,9729020
2003-07-28,10.500000,11.445000,10.100000,10.807500,10.539796,16297420
2003-08-04,10.850000,10.965000,9.905000,10.305000,10.049747,4023240
2003-08-11,10.390000,10.500000,9.750000,9.970000,9.723043,2046780
2003-08-18,10.150000,11.885000,10.050000,10.852500,10.583682,14529680
2003-08-25,10.900000,11.050000,10.162500,10.497500,10.237475,5084060
2003-09-01,10.400000,11.550000,10.100000,11.290000,11.010346,8258800
2003-09-08,11.205000,12.600000,10.802500,12.192500,11.890490,13033120
2003-09-15,12.350000,13.215000,11.600000,11.765000,11.473579,7335080
2003-09-22,11.650000,12.750000,11.057500,12.625000,12.312276,4206780
2003-09-29,12.925000,15.100000,12.500000,14.735000,14.370012,12140600
2003-10-06,14.997500,17.750000,14.215000,17.525000,17.090904,14699620
2003-10-13,17.500000,19.700001,17.500000,17.827499,17.385912,21636280
2003-10-20,18.100000,18.400000,16.452499,17.072500,16.649611,10373480
2003-10-27,17.150000,17.495001,16.424999,17.127501,16.703251,4845100
2003-11-03,17.387501,18.100000,16.575001,16.767500,16.352169,5911400
2003-11-10,16.750000,17.500000,16.555000,16.895000,16.476509,3156840
2003-11-17,16.655001,17.200001,15.105000,16.082500,15.684137,3048800
2003-11-24,16.650000,17.290001,3.354000,17.190001,16.764200,4340180
2003-12-01,17.500000,19.242500,17.102501,17.222500,16.795898,11669000
2003-12-08,17.350000,18.142500,16.754999,17.959999,17.515131,3172540
2003-12-15,18.275000,18.750000,17.200001,17.897499,17.454176,6006760
2003-12-22,18.200001,19.950001,3.718500,18.485001,18.027126,6937780
2003-12-29,18.787500,20.350000,18.645000,19.235001,18.758549,7808260
2004-01-05,19.400000,20.100000,17.500000,19.582500,19.097437,9539740
2004-01-12,19.415001,19.875000,18.752501,19.094999,18.622015,5744520
2004-01-19,18.900000,19.600000,18.000000,18.517500,18.058817,4061560
2004-01-26,18.517500,21.000000,18.517500,19.910000,19.416826,7483840
2004-02-02,19.910000,20.049999,18.250000,18.480000,18.022247,6586380
2004-02-09,18.642500,19.500000,18.637501,19.182501,18.707350,3795980
2004-02-16,19.450001,20.750000,19.250000,19.764999,19.275417,6784200
2004-02-23,20.000000,20.147499,19.049999,19.490000,19.007229,1571480
2004-03-01,19.500000,20.495001,19.250000,19.472500,18.990162,3293420
2004-03-08,19.799999,20.000000,19.057501,19.469999,18.987728,923780
2004-03-15,19.500000,20.250000,19.277500,20.105000,19.606997,1874620
2004-03-22,20.250000,20.400000,19.549999,20.004999,19.509474,1612880
2004-03-29,20.275000,21.370001,19.532499,20.257500,19.755720,3091480
2004-04-05,20.312500,20.500000,19.677500,19.837500,19.346121,588780
2004-04-12,19.912500,20.400000,19.750000,20.325001,19.821554,1111140
2004-04-19,20.299999,20.809999,19.900000,19.997499,19.502165,1658700
2004-04-26,19.057501,19.950001,19.004999,19.742500,19.253481,538840
2004-05-03,19.750000,20.424999,19.500000,20.022499,19.526541,1893000
2004-05-10,19.602501,20.100000,16.750000,17.877501,17.434673,1805020
2004-05-17,18.500000,19.090000,14.400000,18.872499,18.405022,7565160
2004-05-24,19.250000,20.495001,16.299999,16.617500,16.205885,24269500
2004-05-31,16.000000,16.782499,15.250000,16.607500,16.196133,4298280
2004-06-07,16.252501,17.000000,16.250000,16.290001,15.886499,1231180
2004-06-14,16.100000,16.547501,15.502500,16.367500,15.962075,1138000
2004-06-21,16.525000,16.725000,16.002501,16.542500,16.132738,2103140
2004-06-28,16.645000,17.750000,16.605000,17.562500,17.127474,1591160
2004-07-05,14.105000,18.795000,14.105000,17.940001,17.495625,5260980
2004-07-12,18.200001,19.000000,17.924999,18.527500,18.068567,1156480
2004-07-19,18.650000,18.674999,18.004999,18.267500,17.931770,1412940
2004-07-26,17.895000,18.500000,17.500000,17.750000,17.423777,1106580
2004-08-02,17.987499,19.097500,17.900000,18.775000,18.429941,7003660
2004-08-09,18.745001,18.745001,17.450001,17.502501,17.180828,1759800
2004-08-16,17.639999,17.947500,17.405001,17.512501,17.190647,1356840
2004-08-23,17.750000,18.299999,17.000000,17.575001,17.251993,2058160
2004-08-30,16.805000,17.799999,16.805000,17.590000,17.266720,466490
2004-09-06,17.620001,17.850000,16.100000,17.260000,16.942791,850180
2004-09-13,17.299999,18.500000,16.990000,18.305000,17.968580,2386050
2004-09-20,18.375000,19.620001,17.905001,18.805000,18.459389,3328430
2004-09-27,18.799999,19.115000,18.200001,18.820000,18.474115,974090
2004-10-04,18.985001,19.350000,18.000000,18.629999,18.287605,1508820
2004-10-11,18.850000,19.000000,18.150000,18.280001,17.944038,581380
2004-10-18,18.879999,18.879999,18.000000,18.219999,17.885141,2914690
2004-10-25,18.105000,18.245001,17.299999,17.950001,17.620102,1020830
2004-11-01,17.920000,19.350000,17.725000,18.709999,18.366135,2449950
2004-11-08,18.950001,19.500000,18.610001,18.834999,18.488840,2278360
2004-11-15,18.834999,21.700001,18.610001,21.545000,21.149033,3704080
2004-11-22,21.700001,25.165001,21.385000,24.065001,23.622721,5352470
2004-11-29,24.100000,27.889999,23.990000,26.365000,25.880447,7677770
2004-12-06,26.365000,27.700001,24.415001,24.555000,24.103712,2913740
2004-12-13,24.610001,27.535000,24.309999,26.950001,26.454700,3429080
2004-12-20,27.000000,28.000000,25.500000,27.570000,27.063303,2596550
2004-12-27,27.600000,29.900000,27.600000,28.650000,28.123449,2464990
2005-01-03,29.000000,30.400000,26.299999,28.410000,27.887865,3497180
2005-01-10,28.495001,28.850000,25.209999,26.764999,26.273092,4840930
2005-01-17,27.275000,27.395000,26.100000,26.850000,26.356537,692280
2005-01-24,27.000000,28.500000,25.340000,27.825001,27.313616,569330
2005-01-31,28.000000,31.400000,28.000000,30.799999,30.233938,2387440
2005-02-07,32.200001,33.900002,31.000000,33.025002,32.418049,3762230
2005-02-14,33.490002,33.500000,29.700001,29.995001,29.443735,3377910
2005-02-21,32.500000,33.500000,30.000000,32.000000,31.411886,1614200
2005-02-28,32.099998,39.400002,30.500000,36.209999,35.544502,11563320
2005-03-07,36.259998,38.099998,35.465000,37.375000,36.688103,3011530
2005-03-14,37.880001,39.880001,35.709999,36.480000,35.809555,3933930
2005-03-21,37.465000,37.689999,32.500000,33.025002,32.418049,2740690
2005-03-28,33.200001,37.500000,30.025000,33.924999,33.301498,2537700
2005-04-04,35.500000,35.759998,30.209999,32.805000,32.202091,913560
2005-04-11,32.799999,34.200001,31.200001,31.584999,31.004515,534630
2005-04-18,31.000000,32.700001,28.525000,32.070000,31.480595,2152240
2005-04-25,32.200001,32.590000,29.510000,30.305000,29.748034,865210
2005-05-02,30.500000,34.980000,29.655001,32.185001,31.593487,2267320
2005-05-09,32.419998,36.090000,31.299999,34.355000,33.723598,2818410
2005-05-16,34.299999,35.500000,31.655001,34.695000,34.057350,2619130
