Date,Open,High,Low,Close,Adj Close,Volume
2002-04-29,1.510000,1.525000,1.495000,1.500000,1.300202,764000
2002-05-06,1.500000,1.502000,1.460000,1.475000,1.278533,927000
2002-05-13,1.490000,1.532000,1.416000,1.531000,1.340731,1319000
2002-05-20,1.531000,1.531000,1.443000,1.506000,1.318838,5138000
2002-05-27,1.509000,1.520000,1.485000,1.490000,1.304826,863000
2002-06-03,1.492000,1.495000,1.400000,1.422000,1.245277,594000
2002-06-10,1.439000,1.500000,1.439000,1.500000,1.313583,1821000
2002-06-17,1.500000,1.500000,1.375000,1.389000,1.216378,1408000
2002-06-24,1.400000,1.475000,1.270000,1.290000,1.129682,1821000
2002-07-01,1.301000,1.354000,1.271000,1.328000,1.162959,4630000
2002-07-08,1.328000,1.335000,1.300000,1.317000,1.153326,652000
2002-07-15,1.320000,1.335000,1.285000,1.318000,1.154202,1502000
2002-07-22,1.310000,1.385000,1.290000,1.385000,1.212875,3527000
2002-07-29,1.376000,1.410000,1.375000,1.408000,1.233017,1345000
2002-08-05,1.400000,1.420000,1.368000,1.419000,1.242650,1380000
2002-08-12,1.422000,1.430000,1.400000,1.405000,1.230389,275000
2002-08-19,1.410000,1.422000,1.360000,1.421000,1.244401,1902000
2002-08-26,1.414000,1.452000,1.414000,1.449000,1.268922,920000
2002-09-02,1.450000,1.477000,1.448000,1.474000,1.290815,375000
2002-09-09,1.470000,1.520000,1.460000,1.463000,1.281182,2215000
2002-09-16,1.469000,1.508000,1.459000,1.498000,1.311832,701000
2002-09-23,1.479000,1.480000,1.420000,1.420000,1.243526,5358000
2002-09-30,1.419000,1.420000,1.375000,1.382000,1.210248,1763000
2002-10-07,1.382000,1.423000,1.375000,1.413000,1.237395,1780000
2002-10-14,1.410000,1.425000,1.332000,1.332000,1.166462,1884000
2002-10-21,1.332000,1.350000,1.270000,1.332000,1.166462,752000
2002-10-28,1.338000,1.340000,1.318000,1.335000,1.169090,1281000
2002-11-04,1.339000,1.351000,1.329000,1.333000,1.167338,2496000
2002-11-11,1.333000,1.333000,1.262000,1.264000,1.106913,2570000
2002-11-18,1.274000,1.281000,1.216000,1.221000,1.069257,2733000
2002-11-25,1.231000,1.283000,1.225000,1.225000,1.072760,2848000
2002-12-02,1.234000,1.285000,1.225000,1.267000,1.109540,2685000
2002-12-09,1.260000,1.289000,1.185000,1.270000,1.112167,2075000
2002-12-16,1.271000,1.377000,1.270000,1.375000,1.204118,3481000
2002-12-23,1.380000,1.398000,1.334000,1.340000,1.173468,339000
2002-12-30,1.330000,1.359000,1.310000,1.359000,1.190106,844000
2003-01-06,1.369000,1.386000,1.349000,1.386000,1.213751,584000
2003-01-13,1.380000,1.440000,1.326000,1.391000,1.218130,3542000
2003-01-20,1.401000,1.524000,1.395000,1.520000,1.331098,2761000
2003-01-27,1.509000,1.520000,1.451000,1.495000,1.309205,923000
2003-02-03,1.522000,1.569000,1.522000,1.534000,1.343358,1102000
2003-02-10,1.538000,1.561000,1.530000,1.533000,1.342482,4065000
2003-02-17,1.570000,1.615000,1.570000,1.609000,1.409037,3706000
2003-02-24,1.609000,1.625000,1.535000,1.570000,1.374884,7693000
2003-03-03,1.560000,1.580000,1.520000,1.521000,1.331973,547000
2003-03-10,1.526000,1.587000,1.512000,1.565000,1.370505,2001000
2003-03-17,1.573000,1.574000,1.486000,1.574000,1.378387,3962000
2003-03-24,1.574000,1.577000,1.550000,1.575000,1.379262,3891000
2003-03-31,1.565000,1.685000,1.535000,1.685000,1.475592,2967000
2003-04-07,1.690000,1.750000,1.555000,1.585000,1.388020,3454000
2003-04-14,1.585000,1.618000,1.576000,1.603000,1.403783,585000
2003-04-21,1.600000,1.660000,1.600000,1.650000,1.444941,1205000
2003-04-28,1.645000,1.659000,1.620000,1.645000,1.440563,1723000
2003-05-05,1.648000,1.673000,1.601000,1.625000,1.439626,3880000
2003-05-12,1.630000,1.690000,1.627000,1.659000,1.469748,1251000
2003-05-19,1.657000,1.712000,1.625000,1.707000,1.512272,1975000
2003-05-26,1.717000,1.717000,1.675000,1.700000,1.506070,1375000
2003-06-02,1.700000,1.848000,1.698000,1.836000,1.626556,2413000
2003-06-09,1.850000,1.860000,1.804000,1.860000,1.647818,811000
2003-06-16,1.876000,1.925000,1.865000,1.900000,1.683255,1974000
2003-06-23,1.903000,1.903000,1.805000,1.837000,1.627442,2642000
2003-06-30,1.862000,2.161000,1.860000,2.046000,1.812600,4123000
2003-07-07,2.100000,2.315000,2.081000,2.237000,1.981811,6159000
2003-07-14,2.250000,2.340000,2.078000,2.104000,1.863984,1145000
2003-07-21,2.129000,2.208000,2.060000,2.181000,1.932200,4027000
2003-07-28,2.181000,2.275000,2.181000,2.209000,1.957005,4406000
2003-08-04,2.202000,2.332000,2.202000,2.273000,2.013705,3909000
2003-08-11,2.273000,2.300000,2.210000,2.277000,2.017249,989000
2003-08-18,2.276000,2.384000,2.210000,2.262000,2.003960,2515000
2003-08-25,2.175000,2.230000,2.145000,2.198000,1.947260,1201000
2003-09-01,2.196000,2.230000,2.105000,2.199000,1.948146,1879000
2003-09-08,2.220000,2.250000,2.132000,2.148000,1.902964,3660000
2003-09-15,2.135000,2.135000,2.052000,2.099000,1.859554,2182000
2003-09-22,2.040000,2.135000,2.025000,2.116000,1.874615,3207000
2003-09-29,2.125000,2.351000,2.075000,2.288000,2.026994,3430000
2003-10-06,2.325000,2.480000,2.325000,2.400000,2.126217,2357000
2003-10-13,2.410000,2.595000,2.410000,2.587000,2.291885,3349000
2003-10-20,2.600000,2.603000,2.365000,2.381000,2.109385,4775000
2003-10-27,2.400000,2.598000,2.385000,2.589000,2.293656,2106000
2003-11-03,2.614000,2.638000,2.250000,2.334000,2.067746,5788000
2003-11-10,2.334000,2.438000,2.278000,2.427000,2.150137,7703000
2003-11-17,2.400000,2.459000,2.400000,2.454000,2.174057,2799000
2003-11-24,2.443000,2.630000,2.441000,2.615000,2.316691,2939000
2003-12-01,2.616000,2.799000,2.616000,2.635000,2.334409,4900000
2003-12-08,2.640000,3.019000,2.640000,2.950000,2.613475,2486000
2003-12-15,3.015000,3.035000,2.750000,2.925000,2.591327,4871000
2003-12-22,2.980000,3.415000,2.925000,3.310000,2.932407,2203000
2003-12-29,3.400000,3.443000,3.054000,3.180000,2.817238,3772000
2004-01-05,3.240000,3.490000,3.238000,3.310000,2.932407,4909000
2004-01-12,3.275000,3.376000,3.140000,3.199000,2.834070,6440000
2004-01-19,3.199000,3.389000,3.190000,3.250000,2.879252,3409000
2004-01-26,3.235000,3.277000,2.825000,2.900000,2.569179,5572000
2004-02-02,2.910000,3.026000,2.750000,3.026000,2.680806,6514000
2004-02-09,3.029000,3.110000,2.935000,3.096000,2.742820,4394000
2004-02-16,3.096000,3.188000,2.938000,3.016000,2.671946,4268000
2004-02-23,3.041000,3.150000,2.925000,3.041000,2.694094,3744000
2004-03-01,3.041000,3.197000,3.000000,3.150000,2.790660,3034000
2004-03-08,3.170000,3.177000,2.970000,3.022000,2.677262,2466000
2004-03-15,3.024000,3.049000,2.910000,2.910000,2.578038,2646000
2004-03-22,2.900000,2.998000,2.700000,2.922000,2.588669,3216000
2004-03-29,2.940000,3.140000,2.909000,3.119000,2.763196,4962000
2004-04-05,3.125000,3.198000,3.035000,3.074000,2.723330,1615000
2004-04-12,3.000000,3.158000,3.000000,3.085000,2.733075,2193000
2004-04-19,3.086000,3.145000,2.980000,3.119000,2.763196,2568000
2004-04-26,3.130000,3.134000,2.900000,2.900000,2.569179,2208000
2004-05-03,2.900000,3.310000,2.840000,3.086000,2.733960,3382000
2004-05-10,3.061000,3.061000,2.594000,2.598000,2.320023,4165000
2004-05-17,2.400000,2.715000,1.960000,2.608000,2.328953,12760000
2004-05-24,2.695000,2.848000,2.633000,2.832000,2.528986,11932000
2004-05-31,2.807000,2.809000,2.630000,2.748000,2.453974,4243000
2004-06-07,2.795000,2.971000,2.790000,2.946000,2.630789,3887000
2004-06-14,2.940000,2.975000,2.842000,2.842000,2.537917,4872000
2004-06-21,2.820000,2.860000,2.456000,2.680000,2.393250,6040000
2004-06-28,2.718000,2.767000,2.654000,2.713000,2.422718,3183000
2004-07-05,2.738000,2.763000,2.670000,2.727000,2.435221,1447000
2004-07-12,2.737000,2.740000,2.665000,2.665000,2.379854,1548000
2004-07-19,2.650000,2.670000,2.598000,2.625000,2.344135,1765000
2004-07-26,2.580000,2.722000,2.565000,2.708000,2.418254,3587000
2004-08-02,2.688000,2.711000,2.621000,2.647000,2.363780,2259000
2004-08-09,2.627000,2.740000,2.624000,2.735000,2.442364,2296000
2004-08-16,2.720000,2.793000,2.707000,2.769000,2.472727,1678000
2004-08-23,2.775000,2.806000,2.742000,2.795000,2.495945,1644000
2004-08-30,2.815000,2.895000,2.779000,2.850000,2.545060,873000
2004-09-06,2.855000,2.969000,2.833000,2.936000,2.621858,840000
2004-09-13,2.921000,2.980000,2.898000,2.980000,2.661151,1172000
2004-09-20,2.994000,3.300000,2.990000,3.198000,2.855826,2309000
2004-09-27,3.198000,3.395000,3.130000,3.355000,2.996027,2181000
2004-10-04,3.330000,3.375000,3.245000,3.324000,2.968344,1782000
2004-10-11,3.345000,3.345000,3.245000,3.328000,2.971916,1342000
2004-10-18,3.275000,3.350000,3.050000,3.217000,2.872792,5246000
2004-10-25,3.199000,3.548000,3.134000,3.517000,3.140693,4944000
2004-11-01,3.523000,3.890000,3.385000,3.711000,3.313936,4992000
2004-11-08,3.811000,4.038000,3.750000,4.010000,3.580944,5446000
2004-11-15,4.035000,4.175000,3.977000,4.069000,3.633631,4625000
2004-11-22,4.069000,4.090000,3.972000,4.040000,3.607734,2241000
2004-11-29,4.050000,4.315000,4.010000,4.174000,3.727397,7193000
2004-12-06,4.175000,4.203000,3.600000,3.855000,3.442528,8819000
2004-12-13,3.880000,4.062000,3.831000,4.025000,3.594340,2941000
2004-12-20,4.050000,4.369000,4.020000,4.307000,3.846167,3934000
2004-12-27,4.330000,4.588000,4.325000,4.536000,4.050664,2706000
2005-01-03,4.561000,4.587000,3.897000,4.091000,3.653278,7989000
2005-01-10,4.081000,4.250000,4.006000,4.200000,3.750614,4444000
2005-01-17,4.200000,4.217000,3.921000,4.184000,3.736327,20981000
2005-01-24,4.100000,4.299000,4.070000,4.200000,3.750614,18861000
2005-01-31,4.340000,4.515000,4.306000,4.477000,3.997977,6212000
2005-02-07,4.457000,4.640000,4.425000,4.457000,3.980116,4050000
2005-02-14,4.550000,4.620000,4.355000,4.375000,3.906890,5443000
2005-02-21,4.375000,4.572000,4.306000,4.565000,4.076561,5027000
2005-02-28,4.600000,4.770000,4.576000,4.761000,4.251590,8590000
2005-03-07,4.800000,5.000000,4.752000,4.824000,4.307849,8726000
2005-03-14,4.800000,4.825000,4.300000,4.390000,3.920285,9975000
2005-03-21,4.340000,4.345000,3.879000,4.110000,3.670244,13024000
2005-03-28,4.138000,4.294000,4.043000,4.185000,3.737220,6861000
2005-04-04,4.200000,4.517000,4.162000,4.363000,3.896174,5666000
2005-04-11,4.395000,4.405000,4.145000,4.146000,3.702393,3504000
2005-04-18,4.100000,4.361000,3.995000,4.200000,3.750614,7210000
2005-04-25,4.200000,4.412000,4.145000,4.341000,3.876529,7223000
2005-05-02,4.410000,4.430000,4.260000,4.313000,3.851525,12484000
2005-05-09,4.300000,4.367000,4.113000,4.180000,3.732755,6703000
2005-05-16,4.160000,4.314000,4.160000,4.281000,3.822949,4355000
2005-05-23,4.260000,4.300000,4.067000,4.215000,3.764011,4086000
2005-05-30,4.200000,4.230000,4.130000,4.165000,3.743608,3479000
2005-06-06,4.200000,4.475000,4.160000,4.456000,4.005167,7531000
2005-06-13,4.456000,4.750000,4.454000,4.719000,4.241558,8129000
2005-06-20,4.709000,4.720000,4.405000,4.486000,4.032132,4162000
2005-06-27,4.524000,4.848000,4.505000,4.789000,4.304476,7525000
2005-07-04,4.790000,5.000000,4.740000,4.978000,4.474355,5501000
2005-07-11,4.978000,5.050000,4.525000,4.560000,4.098645,10524000
2005-07-18,4.585000,4.885000,4.585000,4.800000,4.314363,7462000
2005-07-25,4.945000,5.270000,4.931000,5.080000,4.566034,10456000
2005-08-01,5.055000,5.225000,4.800000,4.942000,4.441997,7024000
2005-08-08,4.898000,5.175000,4.851000,5.000000,4.494129,4533000
2005-08-15,5.025000,5.064000,4.825000,4.940000,4.440198,2821000
2005-08-22,4.950000,5.025000,4.565000,4.729000,4.250547,6647000
2005-08-29,4.705000,4.825000,4.699000,4.745000,4.264929,3996000
2005-09-05,4.750000,4.825000,4.713000,4.785000,4.300880,5185000
2005-09-12,4.810000,5.098000,4.753000,5.081000,4.566934,9993000
2005-09-19,5.150000,5.297000,4.945000,5.034000,4.524688,9581000
2005-09-26,5.050000,5.160000,5.012000,5.120000,4.601988,5836000
2005-10-03,5.298000,5.475000,5.001000,5.079000,4.565136,20749000
2005-10-10,5.103000,5.115000,4.455000,4.621000,4.153474,10972000
2005-10-17,4.621000,4.650000,4.353000,4.499000,4.043818,8035000
2005-10-24,4.474000,4.476000,4.196000,4.264000,3.832592,13383000
2005-10-31,4.270000,4.645000,4.270000,4.475000,4.022245,10487000
2005-11-07,4.487000,4.879000,4.451000,4.800000,4.314363,14812000
2005-11-14,4.920000,5.078000,4.860000,5.000000,4.494129,11749000
2005-11-21,4.977000,5.058000,4.871000,5.009000,4.502218,6056000
2005-11-28,5.003000,5.120000,4.887000,5.059000,4.547159,6127000
2005-12-05,5.059000,5.130000,4.952000,5.085000,4.570529,8207000
2005-12-12,5.090000,5.313000,5.040000,5.154000,4.632547,8694000
2005-12-19,5.146000,5.429000,5.126000,5.258000,4.726026,5784000
2005-12-26,5.250000,5.250000,5.084000,5.090000,4.575023,4330000
2006-01-02,5.129000,5.479000,5.121000,5.456000,4.903992,5804000
2006-01-09,5.441000,5.566000,5.361000,5.405000,4.858152,8059000
2006-01-16,5.385000,5.428000,5.225000,5.263000,4.730520,6196000
2006-01-23,5.225000,5.861000,5.223000,5.721000,5.142182,10685000
2006-01-30,5.777000,5.970000,5.505000,5.632000,5.062186,9813000
2006-02-06,5.700000,5.807000,5.536000,5.667000,5.093645,6213000
2006-02-13,5.667000,5.824000,5.600000,5.684000,5.108926,15251000
2006-02-20,5.680000,5.697000,5.150000,5.347000,4.806021,16081000
2006-02-27,5.353000,5.570000,5.291000,5.561000,4.998370,7373000
2006-03-06,5.575000,5.575000,5.235000,5.258000,4.726026,13652000
2006-03-13,5.310000,5.442000,5.241000,5.442000,4.891408,9571000
2006-03-20,5.450000,5.487000,5.300000,5.377000,4.832986,6280000
2006-03-27,5.408000,5.570000,5.355000,5.450000,4.898601,4901000
2006-04-03,5.590000,5.882000,5.538000,5.693000,5.117014,7492000
2006-04-10,5.700000,5.753000,5.488000,5.512000,4.954328,6334000
2006-04-17,5.529000,6.247000,5.529000,6.140000,5.518791,12562000
2006-04-24,6.050000,6.050000,5.490000,5.882000,5.286892,15780000
2006-05-01,5.900000,6.157000,5.877000,6.114000,5.495420,10756000
2006-05-08,6.135000,6.360000,5.931000,6.190000,5.563731,13117000
2006-05-15,6.010000,6.100000,5.471000,5.769000,5.215703,11022000
2006-05-22,5.551000,5.697000,5.214000,5.549000,5.016803,15007000
2006-05-29,5.527000,5.540000,5.164000,5.520000,4.990584,10250000
2006-06-05,5.521000,5.522000,4.505000,4.763000,4.306188,23140000
2006-06-12,4.565000,5.226000,4.304000,4.995000,4.515936,24348000
2006-06-19,5.018000,5.135000,4.838000,5.091000,4.602730,15183000
2006-06-26,5.111000,5.577000,4.912000,5.455000,4.931818,12660000
2006-07-03,5.397000,5.498000,5.282000,5.300000,4.791686,6645000
2006-07-10,5.308000,5.450000,4.903000,4.965000,4.488814,12249000
2006-07-17,4.800000,5.124000,4.726000,4.840000,4.375803,10971000
2006-07-24,4.950000,5.396000,4.950000,5.341000,4.828752,10713000
2006-07-31,5.321000,5.425000,5.236000,5.277000,4.770891,6057000
2006-08-07,5.300000,5.500000,5.268000,5.397000,4.879382,6270000
2006-08-14,5.439000,5.800000,5.405000,5.630000,5.090035,7843000
2006-08-21,5.628000,5.774000,5.540000,5.558000,5.024940,5850000
2006-08-28,5.550000,5.839000,5.550000,5.839000,5.278990,3794000
2006-09-04,5.844000,5.968000,5.511000,5.606000,5.068336,8777000
2006-09-11,5.450000,5.975000,5.430000,5.906000,5.339565,8439000
2006-09-18,5.915000,6.088000,5.710000,5.727000,5.177732,7748000
2006-09-25,5.745000,6.182000,5.661000,6.105000,5.519478,8335000
2006-10-02,6.125000,6.352000,5.914000,6.350000,5.740981,5642000
2006-10-09,6.350000,6.840000,6.276000,6.793000,6.141493,7220000
2006-10-16,6.940000,7.007000,6.521000,6.605000,5.971525,8753000
2006-10-23,6.583000,6.931000,6.505000,6.770000,6.120699,6412000
2006-10-30,6.905000,6.950000,6.757000,6.927000,6.262642,4794000
2006-11-06,6.912000,7.340000,6.900000,7.267000,6.570032,6475000
2006-11-13,7.320000,7.770000,7.255000,7.500000,6.780686,13253000
2006-11-20,7.400000,7.535000,7.243000,7.523000,6.801480,8932000
2006-11-27,7.424000,7.699000,7.227000,7.602000,6.872904,8454000
2006-12-04,7.560000,7.697000,7.508000,7.527000,6.805097,7426000
2006-12-11,7.215000,7.582000,7.038000,7.559000,6.834027,16527000
2006-12-18,7.601000,7.631000,7.010000,7.100000,6.419050,11385000
2006-12-25,7.155000,7.656000,7.114000,7.548000,6.824083,9594000
2007-01-01,7.700000,7.704000,7.273000,7.321000,6.618854,6265000
2007-01-08,7.272000,7.819000,7.001000,7.797000,7.049201,14548000
2007-01-15,7.822000,8.000000,7.425000,7.517000,6.796055,9580000
2007-01-22,7.518000,7.746000,7.362000,7.500000,6.780686,6765000
2007-01-29,7.525000,7.849000,7.453000,7.800000,7.051914,8567000
2007-02-05,7.808000,7.944000,7.600000,7.658000,6.923532,8091000
2007-02-12,7.600000,7.619000,6.980000,7.225000,6.532061,22604000
2007-02-19,7.155000,7.219000,6.738000,6.884000,6.223765,14604000
2007-02-26,6.860000,6.890000,6.316000,6.436000,5.818731,26394000
2007-03-05,6.360000,6.908000,6.099000,6.640000,6.003168,19548000
2007-03-12,6.642000,6.719000,6.274000,6.401000,5.787089,12349000
2007-03-19,6.521000,7.175000,6.521000,7.051000,6.374749,14042000
2007-03-26,6.950000,6.991000,6.335000,6.445000,5.826869,15871000
2007-04-02,6.350000,6.708000,6.347000,6.708000,6.064646,7328000
2007-04-09,6.785000,6.930000,6.603000,6.880000,6.220149,10231000
2007-04-16,6.988000,7.139000,6.925000,7.016000,6.343105,10659000
2007-04-23,7.013000,7.589000,7.011000,7.398000,6.688468,17188000
2007-04-30,7.399000,7.463000,7.188000,7.416000,6.704742,9406000
2007-05-07,7.416000,7.442000,7.201000,7.379000,6.671291,7216000
2007-05-14,7.379000,7.846000,7.290000,7.810000,7.060954,12758000
2007-05-21,8.004000,8.400000,7.980000,8.218000,7.482158,20650000
2007-05-28,8.406000,8.657000,8.180000,8.654000,7.879118,11987000
2007-06-04,8.651000,8.840000,7.946000,8.270000,7.529502,15255000
2007-06-11,8.280000,8.345000,8.080000,8.338000,7.591413,10850000
2007-06-18,8.325000,8.589000,8.240000,8.308000,7.564099,13094000
2007-06-25,8.308000,8.499000,8.039000,8.426000,7.671533,12693000
2007-07-02,8.455000,8.826000,8.451000,8.777000,7.991105,9789000
2007-07-09,8.858000,9.365000,8.617000,9.302000,8.469096,10597000
2007-07-16,9.299000,9.380000,8.845000,9.170000,8.348916,41084000
2007-07-23,9.272000,9.300000,8.371000,8.410000,7.656966,33870000
2007-07-30,8.585000,8.975000,8.171000,8.171000,7.439366,23116000
2007-08-06,8.344000,8.885000,8.069000,8.390000,7.638758,25749000
2007-08-13,8.609000,8.635000,7.092000,8.395000,7.643309,32747000
2007-08-20,8.430000,8.465000,7.959000,8.430000,7.675178,15818000
2007-08-27,8.450000,8.865000,8.123000,8.865000,8.071226,17584000
2007-09-03,8.845000,8.935000,8.575000,8.662000,7.886401,8943000
2007-09-10,8.790000,9.150000,8.580000,9.115000,8.298840,13809000
2007-09-17,9.075000,10.120000,8.875000,10.099000,9.194731,16039000
2007-09-24,10.197000,10.779000,10.131000,10.713000,9.753756,15774000
2007-10-01,10.600000,11.165000,10.504000,11.095000,10.101551,15836000
2007-10-08,10.991000,11.613000,10.675000,11.594000,10.555869,18474000
2007-10-15,11.700000,11.944000,10.340000,10.565000,9.619006,49601000
2007-10-22,10.439000,12.692000,10.333000,12.585000,11.458135,30525000
2007-10-29,12.970000,13.937000,12.850000,13.536000,12.323983,30104000
2007-11-05,13.000000,13.573000,11.932000,11.996000,10.921877,24614000
2007-11-12,11.340000,13.526000,10.900000,12.653000,11.520046,28535000
2007-11-19,12.417000,12.583000,11.455000,12.550000,11.426268,15309000
2007-11-26,12.651000,13.900000,11.855000,13.449000,12.244772,25647000
2007-12-03,13.500000,14.506000,12.975000,13.874000,12.631718,26104000
2007-12-10,13.873000,14.544000,13.016000,13.158000,11.979828,22308000
2007-12-17,13.000000,13.011000,12.016000,12.949000,11.789541,20084000
2007-12-24,12.978000,13.519000,12.626000,13.163000,11.984381,14107000
2007-12-31,13.018000,13.457000,12.092000,12.153000,11.064816,16181000
2008-01-07,12.449000,13.771000,12.340000,13.452000,12.247504,30847000
2008-01-14,13.750000,14.067000,11.504000,11.862000,10.799873,36942000
2008-01-21,10.000000,12.285000,10.000000,11.830000,10.770738,29482000
2008-01-28,11.685000,12.197000,11.111000,12.100000,11.016562,22316000
